pid, Playing Role,match_played,run_scored,batting_avg,economy,top_score,wickets,wide_balls,no_balls,catches,run_outs,stumping,grade
1,Batsman,15,800,53.33,0,121,0,0,0,3,0,0,B
2,Batsman,200,16000,80,5,321,7,0,0,2,0,0,A
3,Batsman,150,7200,48,6,145,5,0,0,2,1,0,B
4,Batsman,150,5250,35,8,66,4,0,0,1,1,1,C
5,Batsman,200,5000,25,3,52,0,0,0,0,0,0,D
6,Bowler,200,5000,25,2,25,25,1,1,10,15,5,A
7,Bowler,200,4000,20,3,50,20,3,3,8,12,3,A
8,Bowler,200,3000,15,5,40,15,5,5,6,10,2,B
9,Bowler,200,2000,10,6,30,10,8,8,4,8,0,B
10,Bowler,200,1000,5,8,20,5,10,10,2,4,0,C
11,Bowler,200,500,2.5,9,10,2,15,15,1,1,0,D
12,All-rounder,200,18000,90,5.2,280,18,1,1,10,10,10,A
13,All-rounder,200,14000,70,5,200,14,2,2,8,8,8,A
14,All-rounder,150,9000,60,6,180,10,4,4,6,6,6,B
15,All-rounder,150,6000,40,6,150,8,6,6,4,4,4,B
16,All-rounder,100,3500,35,8,120,4,8,8,3,3,3,C
17,All-rounder,50,1250,25,9,50,2,10,10,2,2,2,D
18,wicket keeper,100,8000,80,5,350,15,0,0,12,12,15,A
19,wicket keeper,150,7500,50,5,155,12,0,0,8,8,8,B
20,wicket keeper,200,4600,23,0,52,7,0,0,1,1,1,C
